SETTLEMENT DATE,SYMBOL,QUANTITY (FAILS),PRICE
20210331,GME,14031.0,194.46
20210326,AVUS,1237.0,68.15
20210331,BBSC,1.0,63.52
20210331,DFAU,12013.0,28.03
20210324,DMRS,105.0,55.50
20210331,DSI,20.0,75.94
20210331,DWPP,1.0,29.56
20210331,ESML,35152.0,38.30
20210331,EWSC,714.0,80.02
20210329,FDIS,2442.0,75.63
20210331,FLQS,724.0,36.33
20210331,FNDB,28716.0,51.48
20210331,FNDX,50672.0,51.82
20210331,FTXD,2089.0,32.00
20210331,GAMR,195.0,96.26
20210331,GSSC,8567.0,61.66
20210331,HDG,2484.0,51.50
20210331,IJR,106230.0,108.13
20210331,IJS,49.0,100.87
20210330,IJT,756.0,125.12
20210331,ISCB,27.0,223.36
20210330,ISCV,100.0,166.03
20210330,ITOT,128544.0,91.07
20210330,IUSS,12.0,35.64
20210331,IWC,811.0,143.88
20210331,IWM,696374.0,218.01
20210331,IWN,6023.0,158.77
20210330,IWV,266.0,236.23
20210331,JHMC,2489.0,49.87
20210331,JHMM,5987.0,48.95
20210331,MFUS,316.0,36.30
20210318,MMTM,1.0,166.52
20210331,NUSC,11897.0,42.79
20210331,OMFS,4971.0,38.75
20210331,PBSM,11902.0,37.46
20210331,PRF,9806.0,152.03
20210330,PSCD,707.0,108.86
20210330,RALS,285.0,32.88
20210330,RESP,847.0,43.57
20210331,RETL,2156.0,191.48
20210331,RWJ,9479.0,113.63
20210331,SAA,98.0,146.45
20210331,SCHA,477.0,98.79
20210331,SCHB,422.0,96.12
20210331,SFYF,693.0,29.52
20210331,SLY,219.0,93.49
20210331,SLYG,5615.0,84.84
20210331,SLYV,298.0,82.05
20210331,SPSM,2463.0,42.07
20210329,SPTM,5673.0,49.19
20210331,SSLY,150.0,51.32
20210329,STSB,2.0,46.77
20210331,SYLD,1995.0,60.06
20210324,TILT,157.0,156.23
20210331,URTY,706.0,102.51
20210331,USMF,224.0,37.72
20210331,UWM,192.0,108.96
20210331,VB,968.0,212.57
20210331,VBR,1485.0,165.78
20210329,VCR,22716.0,292.70
20210331,VIOG,5.0,218.30
20210331,VIOO,23.0,197.84
20210330,VIOV,6387.0,171.72
20210331,VLU,1763.0,138.99
20210331,VTHR,466.0,183.85
20210331,VTI,140157.0,205.44
20210331,VTWO,99780.0,176.17
20210331,VTWV,130.0,139.08
20210331,VXF,50.0,174.60
20210331,XJR,621.0,38.67
20210331,XRT,3440.0,88.79
20210331,XSMO,9324.0,51.15
20210330,XSVM,8445.0,47.50
